Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
MBUS Kanal 6 Durchfluss;DAQ-ANA;3;;r;11072;11073;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 6 Energie;DAQ-ANA;3;;r;11074;11075;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 7 Vorlauftemperatur;DAQ-ANA;3;;r;11076;11077;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 7 Rücklauftemperatur;DAQ-ANA;3;;r;11078;11079;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 7 Leistung;DAQ-ANA;3;;r;11080;11081;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 7 Durchfluss;DAQ-ANA;3;;r;11082;11083;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 7 Energie;DAQ-ANA;3;;r;11084;11085;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 8 Vorlauftemperatur;DAQ-ANA;3;;r;11086;11087;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 8 Rücklauftemperatur;DAQ-ANA;3;;r;11088;11089;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 8 Leistung;DAQ-ANA;3;;r;11090;11091;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 8 Durchfluss;DAQ-ANA;3;;r;11092;11093;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 8 Energie;DAQ-ANA;3;;r;11094;11095;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 9 Vorlauftemperatur;DAQ-ANA;3;;r;11096;11097;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 9 Rücklauftemperatur;DAQ-ANA;3;;r;11098;11099;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 9 Leistung;DAQ-ANA;3;;r;11100;11101;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 9 Durchfluss;DAQ-ANA;3;;r;11102;11103;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 9 Energie;DAQ-ANA;3;;r;11104;11105;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 10 Vorlauftemperatur;DAQ-ANA;3;;r;11106;11107;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 10 Rücklauftemperatur;DAQ-ANA;3;;r;11108;11109;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 10 Leistung;DAQ-ANA;3;;r;11110;11111;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 10 Durchfluss;DAQ-ANA;3;;r;11112;11113;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 10 Energie;DAQ-ANA;3;;r;11114;11115;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 11 Vorlauftemperatur;DAQ-ANA;3;;r;11116;11117;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 11 Rücklauftemperatur;DAQ-ANA;3;;r;11118;11119;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 11 Leistung;DAQ-ANA;3;;r;11120;11121;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 11 Durchfluss;DAQ-ANA;3;;r;11122;11123;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 11 Energie;DAQ-ANA;3;;r;11124;11125;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 12 Vorlauftemperatur;DAQ-ANA;3;;r;11126;11127;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 12 Rücklauftemperatur;DAQ-ANA;3;;r;11128;11129;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 12 Leistung;DAQ-ANA;3;;r;11130;11131;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 12 Durchfluss;DAQ-ANA;3;;r;11132;11133;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 12 Energie;DAQ-ANA;3;;r;11134;11135;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 13 Vorlauftemperatur;DAQ-ANA;3;;r;11136;11137;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 13 Rücklauftemperatur;DAQ-ANA;3;;r;11138;11139;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 13 Leistung;DAQ-ANA;3;;r;11140;11141;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 13 Durchfluss;DAQ-ANA;3;;r;11142;11143;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 13 Energie;DAQ-ANA;3;;r;11144;11145;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 14 Vorlauftemperatur;DAQ-ANA;3;;r;11146;11147;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 14 Rücklauftemperatur;DAQ-ANA;3;;r;11148;11149;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 14 Leistung;DAQ-ANA;3;;r;11150;11151;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 14 Durchfluss;DAQ-ANA;3;;r;11152;11153;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 14 Energie;DAQ-ANA;3;;r;11154;11155;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 15 Vorlauftemperatur;DAQ-ANA;3;;r;11156;11157;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 15 Rücklauftemperatur;DAQ-ANA;3;;r;11158;11159;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 15 Leistung;DAQ-ANA;3;;r;11160;11161;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 15 Durchfluss;DAQ-ANA;3;;r;11162;11163;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 15 Energie;DAQ-ANA;3;;r;11164;11165;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 16 Vorlauftemperatur;DAQ-ANA;3;;r;11166;11167;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 16 Rücklauftemperatur;DAQ-ANA;3;;r;11168;11169;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 16 Leistung;DAQ-ANA;3;;r;11170;11171;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 16 Durchfluss;DAQ-ANA;3;;r;11172;11173;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 16 Energie;DAQ-ANA;3;;r;11174;11175;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 17 Vorlauftemperatur;DAQ-ANA;3;;r;11176;11177;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 17 Rücklauftemperatur;DAQ-ANA;3;;r;11178;11179;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 17 Leistung;DAQ-ANA;3;;r;11180;11181;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 17 Durchfluss;DAQ-ANA;3;;r;11182;11183;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 17 Energie;DAQ-ANA;3;;r;11184;11185;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 18 Vorlauftemperatur;DAQ-ANA;3;;r;11186;11187;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 18 Rücklauftemperatur;DAQ-ANA;3;;r;11188;11189;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 18 Leistung;DAQ-ANA;3;;r;11190;11191;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 18 Durchfluss;DAQ-ANA;3;;r;11192;11193;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 18 Energie;DAQ-ANA;3;;r;11194;11195;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 19 Vorlauftemperatur;DAQ-ANA;3;;r;11196;11197;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 19 Rücklauftemperatur;DAQ-ANA;3;;r;11198;11199;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 19 Leistung;DAQ-ANA;3;;r;11200;11201;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 19 Durchfluss;DAQ-ANA;3;;r;11202;11203;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 19 Energie;DAQ-ANA;3;;r;11204;11205;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 20 Vorlauftemperatur;DAQ-ANA;3;;r;11206;11207;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 20 Rücklauftemperatur;DAQ-ANA;3;;r;11208;11209;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 20 Leistung;DAQ-ANA;3;;r;11210;11211;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 20 Durchfluss;DAQ-ANA;3;;r;11212;11213;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 20 Energie;DAQ-ANA;3;;r;11214;11215;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 21 Vorlauftemperatur;DAQ-ANA;3;;r;11216;11217;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 21 Rücklauftemperatur;DAQ-ANA;3;;r;11218;11219;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 21 Leistung;DAQ-ANA;3;;r;11220;11221;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 21 Durchfluss;DAQ-ANA;3;;r;11222;11223;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 21 Energie;DAQ-ANA;3;;r;11224;11225;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
Wärmemengenzähler Vorlauftemperatur;DAQ-ANA;3;;r;11756;11757;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Wärmemengenzähler Rücklauftemperatur;DAQ-ANA;3;;r;11758;11759;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Wärmemengenzähler Durchfluss;DAQ-ANA;3;;r;11760;11761;;;;;;;;;;;;;;;;;;;;;;;;;;
Wärmemengenzähler Leistung;DAQ-ANA;3;;r;11762;11763;;KW;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Solltemperatur Kessel A;DAQ-ANA;3;;r;11558;11559;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Solltemperatur Kessel B;DAQ-ANA;3;;r;11560;11561;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Solltemperatur Kessel C;DAQ-ANA;3;;r;11562;11563;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Solltemperatur Kessel D;DAQ-ANA;3;;r;11564;11565;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Temperatur Kessel A;DAQ-ANA;3;;r;11570;11571;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Temperatur Kessel B;DAQ-ANA;3;;r;11572;11573;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Temperatur Kessel C;DAQ-ANA;3;;r;11574;11575;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Temperatur Kessel D;DAQ-ANA;3;;r;11576;11577;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Min Kessel A;DAQ-ANA;3;;r;11692;11693;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Min Kessel B;DAQ-ANA;3;;r;11694;11695;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Min Kessel C;DAQ-ANA;3;;r;11696;11697;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Min Kessel D;DAQ-ANA;3;;r;11698;11699;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Max Kessel A;DAQ-ANA;3;;r;11704;11705;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Max Kessel B;DAQ-ANA;3;;r;11706;11707;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Max Kessel C;DAQ-ANA;3;;r;11708;11709;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Max Kessel D;DAQ-ANA;3;;r;11710;11711;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Max KWK;DAQ-ANA;3;;r;11716;11717;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Laufzeit Kaskade Leistung-Max Fremdwärme;DAQ-ANA;3;;r;11718;11719;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Laufzeit Kessel A;DAQ-ANA;3;;r;11720;11721;;h;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Laufzeit Kessel B;DAQ-ANA;3;;r;11722;11723;;h;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Laufzeit Kessel C;DAQ-ANA;3;;r;11724;11725;;h;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Laufzeit Kessel D;DAQ-ANA;3;;r;11726;11727;;h;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Laufzeit KWK;DAQ-ANA;3;;r;11732;11733;;h;;;;;;;;;;;;;;;;;;;;;;;;
Kaskade Laufzeit Fremdwärme;DAQ-ANA;3;;r;11734;11735;;h;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Wärmequellentemperatur;DAQ-ANA;3;;r;10312;10313;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Kreis 1 aktiv;DAQ-ANA;3;;r;11390;11391;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Kreis 2 aktiv;DAQ-ANA;3;;r;11392;11393;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Temperatur Kreis 1;DAQ-ANA;3;;r;11394;11395;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler Temperatur Kreis 2;DAQ-ANA;3;;r;11396;11397;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler WMZ Gesamtwert;DAQ-ANA;3;;r;11830;11831;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler WMZ Tageswert;DAQ-ANA;3;;r;11832;11833;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler WMZ Aktuell;DAQ-ANA;3;;r;11834;11835;;kW;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler Wärmequellentemperatur;DAQ-ANA;3;;r;10316;10317;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler Kreis 1 aktiv;DAQ-ANA;3;;r;11398;11399;;;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler Kreis 1 aktiv;DAQ-ANA;3;;r;11400;11401;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler Kreis 2 aktiv;DAQ-ANA;3;;r;11402;11403;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM Wärmequellentemperatur;DAQ-ANA;3;;r;11404;11405;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM Kreis 1 aktiv;DAQ-ANA;3;;r;11406;11407;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM Kreis 2 aktiv;DAQ-ANA;3;;r;11408;11409;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM Temperatur Kreis 1;DAQ-ANA;3;;r;11410;11411;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM Temperatur Kreis 2;DAQ-ANA;3;;r;11412;11413;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM P1;DAQ-ANA;3;;r;11414;11415;;%;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM P2;DAQ-ANA;3;;r;11416;11417;;%;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM P3;DAQ-ANA;3;;r;11418;11419;;%;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM WMZ Gesamtwert;DAQ-ANA;3;;r;11420;11421;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM WMZ Tageswert;DAQ-ANA;3;;r;11422;11423;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM WMZ Aktuell;DAQ-ANA;3;;r;11424;11425;;kW;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM P1 CAN Value;DAQ-ANA;3;;r;11426;11427;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM P2 CAN Value;DAQ-ANA;3;;r;11428;11429;;;;;;;;;;;;;;;;;;;;;;;;;;
Differenzregler PWM P3 CAN Value;DAQ-ANA;3;;r;11430;11431;;;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Puffertemperatur;DAQ-ANA;3;;r;10320;10321;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Vorlauftemperatur;DAQ-ANA;3;;r;11990;11991;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Solltemperatur;DAQ-ANA;3;;r;10322;10323;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Isttemperatur;DAQ-ANA;3;;r;10324;10325;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Durchfluss;DAQ-ANA;3;;r;11350;11351;;l/min;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Leistung;DAQ-ANA;3;;r;11348;11349;;kW;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Pumpenleistung;DAQ-ANA;3;;r;10326;10327;;%;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Tagesmenge;DAQ-ANA;3;;r;12060;12061;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Gesamtmenge;DAQ-ANA;3;;r;12068;12069;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Puffertemperatur;DAQ-ANA;3;;r;13196;13197;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Vorlauftemperatur;DAQ-ANA;3;;r;11992;11993;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Solltemperatur;DAQ-ANA;3;;r;10332;10333;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Isttemperatur;DAQ-ANA;3;;r;10334;10335;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Durchfluss;DAQ-ANA;3;;r;11360;11361;;l/min;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Leistung;DAQ-ANA;3;;r;11358;11359;;kW;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Pumpenleistung;DAQ-ANA;3;;r;10336;10337;;%;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Tagesmenge;DAQ-ANA;3;;r;12062;12063;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS 2 Gesamtmenge;DAQ-ANA;3;;r;12070;12071;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Puffertemperatur;DAQ-ANA;3;;r;13198;13199;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Vorlauftemperatur;DAQ-ANA;3;;r;11994;11995;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Solltemperatur;DAQ-ANA;3;;r;10342;10343;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Isttemperatur;DAQ-ANA;3;;r;10344;10345;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Durchfluss;DAQ-ANA;3;;r;11370;11371;;l/min;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Leistung;DAQ-ANA;3;;r;11368;11369;;kW;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Pumpenleistung;DAQ-ANA;3;;r;10346;10347;;%;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Tagesmenge;DAQ-ANA;3;;r;12064;12065;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS 3 Gesamtmenge;DAQ-ANA;3;;r;12072;12073;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS 1 Puffertemperatur;DAQ-ANA;3;;r;13200;13201;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Vorlauftemperatur;DAQ-ANA;3;;r;11996;11997;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Solltemperatur;DAQ-ANA;3;;r;10352;10353;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Isttemperatur;DAQ-ANA;3;;r;10354;10355;;°C;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Durchfluss;DAQ-ANA;3;;r;11380;11381;;l/min;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Leistung;DAQ-ANA;3;;r;11378;11379;;kW;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Pumpenleistung;DAQ-ANA;3;;r;10356;10357;;%;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Tagesmenge;DAQ-ANA;3;;r;12066;12067;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS 4 Gesamtmenge;DAQ-ANA;3;;r;12074;12075;;l;;;;;;;;;;;;;;;;;;;;;;;;
FWS Kaskade Leistung;DAQ-ANA;3;;r;11388;11389;;%;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Smart Kessel;DAQ-ANA;3;;r;11864;11865;;;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Smart Kessel;DAQ-ANA;3;;r;11866;11867;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Flags Smart Kessel;DAQ-ANA;3;;r;11868;11869;;;;;;;;;;;;;;;;;;;;;;;;;;
Smart Kessel gesperrt;DAQ-ANA;3;;r;11870;11871;;;;;;;;;;;;;;;;;;;;;;;;;;
Position Umschalteinheit;DAQ-ANA;3;;r;11524;11525;;;;;;;;;;;;;;;;;;;;;;;;;;
Sollposition Motor Umschalteinheit;DAQ-ANA;3;;r;11526;11527;;mm;;;;;;;;;;;;;;;;;;;;;;;;
Position Motor Umschalteinheit;DAQ-ANA;3;;r;11522;11523;;mm;;;;;;;;;;;;;;;;;;;;;;;;
Sollposition AUP;DAQ-ANA;3;;r;11582;11583;;mm;;;;;;;;;;;;;;;;;;;;;;;;
Position AUP;DAQ-ANA;3;;r;11584;11585;;mm;;;;;;;;;;;;;;;;;;;;;;;;
Stromaufnahme AUP;DAQ-ANA;3;;r;11586;11587;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Zusatzpuffer-Temperatur oben (HKM1);DAQ-ANA;3;;rw;13178;13179;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zusatzpuffer-Temperatur Mitte (HKM1);DAQ-ANA;3;;rw;13180;13181;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zusatzpuffer-Temperatur unten (HKM1);DAQ-ANA;3;;rw;13182;13183;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Pufferfüllgrad Zusatzpuffer (HKM1);DAQ-ANA;3;;r;13192;13193;;%;;;;;;;;;;;;;;;;;;;;;;;;
Pufferpumpe Zusatzpuffer (HKM1);DAQ-ANA;3;;r;13210;13211;;;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur oben Zusatzpuffer (HKM1);DAQ-ANA;3;;r;13212;13213;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur unten Zusatzpuffer (HKM1);DAQ-ANA;3;;r;13214;13215;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Zusatzpuffer (HKM1);DAQ-ANA;3;;r;13216;13217;;;;;;Aus;Restwärme;Ein;Laden;Handbetrieb;Rauchfangkehrer;;;;;;;;;;;;;;;
höchste Anforderung Zusatzpuffer HKM1;DAQ-ANA;3;;r;13250;13251;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zusatzpuffer-Temperatur oben (HKM2);DAQ-ANA;3;;rw;13184;13185;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zusatzpuffer-Temperatur Mitte (HKM2);DAQ-ANA;3;;rw;13186;13187;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zusatzpuffer-Temperatur unten (HKM2);DAQ-ANA;3;;rw;13188;13189;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Pufferfüllgrad Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13194;13195;;%;;;;;;;;;;;;;;;;;;;;;;;;
Pufferpumpe Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13218;13219;;;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur oben Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13220;13221;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur unten Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13222;13223;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13224;13225;;;;;;Aus;Restwärme;Ein;Laden;Handbetrieb;Rauchfangkehrer;;;;;;;;;;;;;;;
höchste Anforderung Zusatzpuffer HKM2;DAQ-ANA;3;;r;13252;13253;;°C;;;;;;;;;;;;;;;;;;;;;;;;
eCleaner Hochspannung Soll;DAQ-ANA;3;;r;13244;13245;;kV;;;;;;;;;;;;;;;;;;;;;;;;
Wasserdrucksensor;DAQ-ANA;3;;r;11686;11687;;bar;;;;;;;;;;;;;;;;;;;;;;;;
Störung;DAQ-DIG;3;;r;16036;16037;;;;;;;;;;;;;;;;;;;;;;;;;;
Sicherheitstemperaturbegrenzer;DAQ-DIG;3;;r;16072;16073;;;;;;;;;;;;;;;;;;;;;;;;;;
Füllstand Pellets;DAQ-DIG;3;;r;16093;16094;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe Rücklauf/Puffer;DAQ-DIG;3;;r;16024;16025;;;;;;;;;;;;;;;;;;;;;;;;;;
Rücklaufmischer Auf;DAQ-DIG;3;;r;16096;16097;;;;;;;;;;;;;;;;;;;;;;;;;;
Rücklaufmischer Zu;DAQ-DIG;3;;r;16097;16098;;;;;;;;;;;;;;;;;;;;;;;;;;
Aktivität am Kessel;DAQ-DIG;3;;r;16069;16070;;;;;;;;;;;;;;;;;;;;;;;;;;
Aktiver Servicecode/Mastercode;DAQ-DIG;3;;r;16070;16071;;;;;;;;;;;;;;;;;;;;;;;;;;
Freigabe Fremdwärme;DAQ-DIG;3;;r;16054;16055;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe geregelte Fernleitung 1;DAQ-DIG;3;;r;16059;16060;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Auf geregelte Fernleitung 1;DAQ-DIG;3;;r;16060;16061;;;;;;;;;;;;;;;;;;;;;;;;;;
Mischer Zu geregelte Fernleitung 1;DAQ-DIG;3;;r;16061;16062;;;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe geregelte Fernleitung 2;DAQ-DIG;3;;r;16190;16191;;;;;;;;;;;;;;;;;;;;;;;;;;
