Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Fremdwärmeregler 2 Abschaltung Kreis 1;INT;3;;rw;21304;21305;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21305;21306;;;;;;IO36 Klemme 209/210;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
Fremdwärmeregler 2 Überhöhung der Wärmequelle (Kreis 2);INT;3;;rw;21306;21307;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Schaltdifferenz (Kreis 2);INT;3;;rw;21307;21308;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Abschaltung Kreis 2;INT;3;;rw;21308;21309;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Parallelbetrieb Kreis 1 + 2;WAHL;3;;rw;21309;21310;;;;;;Nein (ohne Ventil);Nein (Ventil vorhanden);Ja;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Umschaltung auf Kreis 2 wenn Differenz bei Kreis 1 kleiner;INT;3;;rw;21310;21311;;°C;1;20;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Umschaltung auf Kreis 2 wenn Kreis 1 über;INT;3;;rw;21311;21312;;°C;20;90;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Zeitverzögerung für Umschaltung zwischen den Kreisen;INT;3;;rw;21312;21313;;Min;0;60;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Fremdwärmekessel 2;WAHL;3;;rw;21313;21314;;;;;;mit Rücklaufmischer;nur Pumpe;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Mischerlaufzeit;INT;3;;rw;21314;21315;;Sek;10;300;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Rücklauftemperatur Sollwert;INT;3;;rw;21315;21316;;°C;10;90;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Info bei nicht erreichter Rücklauftemperatur;INT;3;;rw;21316;21317;;°C;10;90;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Zeit für Info;INT;3;;rw;21317;21318;;Min;1;120;1;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21318;21319;;;;;;IO36 Klemme 209/210;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
Fremdwärmeregler 2 Überhöhung der Wärmequelle (Fremdwärmekessel 2);INT;3;;rw;21319;21320;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Schaltdifferenz (Fremdwärmekessel 2);INT;3;;rw;21320;21321;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Sicherheitsschaltung ab Wärmequelle (IO36 Klemme 207/208);INT;3;;rw;21321;21322;;°C;80;105;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Abtaufunktion;WAHL;3;;rw;24309;24310;;;;;;Nicht vorhanden;Vorhanden;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Dauer Abtaufunktion;INT;3;;rw;24310;24311;;Min;1;30;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 PWM Differenzregler Funktion;WAHL;3;;rw;21322;21323;;;;;;Nicht vorhanden;1 Kreis;2 Kreise;Fremdwärmekessel;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Pumpe 1;WAHL;3;;rw;21323;21324;;;;;;Nicht vorhanden;PWM;PWM invertiert;0-10V;230V;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Drehzahl-Minimum Pumpe 1;INT;3;;rw;21324;21325;;%;16;100;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Drehzahl-Maximum Pumpe 1;INT;3;;rw;21325;21326;;%;0;100;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Pumpe 2;WAHL;3;;rw;21326;21327;;;;;;Nicht vorhanden;PWM;PWM invertiert;0-10V;230V;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Drehzahl-Minimum Pumpe 2;INT;3;;rw;21327;21328;;%;16;100;1;;;;;;;;;;;;;;;;;;;;;
PWM Differenzregler 3 Drehzahl-Maximum Pumpe 2;INT;3;;rw;21328;21329;;%;0;100;1;;;;;;;;;;;;;;;;;;;;;
