Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
A24;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Vorlauftemperatur Maximum;INT;3;;rw;20717;20718;1;°C;1;95;1;;;;;;;;;;;;;;;;;;;;;
A24a;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Vorlauftemperatur Maximum FBH;INT;3;;rw;21062;21063;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A25;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Mischerlaufzeit;INT;3;;rw;20718;20719;1;Sek;10;300;5;;;;;;;;;;;;;;;;;;;;;
A26;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Fernbedienung;WAHL;3;;rw;20719;20720;1;;;;;Nicht vorhanden;FR25 (analog);FR35 (digital);FR40 (digital);ext. Schaltkontakt;KNX;Modbus;;;;;;;;;;;;;;
A26a;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 Fernbedienung;WAHL;3;;rw;20720;20721;1;;;;;mit Raumfühler;ohne Raumfühler;;;;;;;;;;;;;;;;;;;
A26b;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 Anzeige Fernbedienung;WAHL;3;;rw;20721;20722;1;;;;;Boiler A;Boiler 1;Boiler 2;Boiler 3;Zentralpuffer;Boiler B;Fühler FWS;Zusatzpuffer HKM1;Zusatzpuffer HKM2;;;;;;;;;;;;
A26c;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 FR40-Ansicht;BITFIELD;3;;rw;21063;21064;1;;;;;;;;;;;;;;;;;;;;;;;;;
A26ca;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 FR40-Ansicht;BITFIELD;3;;rw;23989;23990;1;;;;;;;;;;;;;;;;;;;;;;;;;
A26d;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 Raumkorr. Fernbedienung;FLOAT;3;;rw;20722;20723;1;°C;-6.00;6.00;0.50;;;;;;;;;;;;;;;;;;;;;
A26e;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 Pumpenabschaltung bei Überschreitung der Raumtemp. Raumregler;WAHL;3;;rw;21065;21066;1;;;;;Deaktiviert;Aktiviert;;;;;;;;;;;;;;;;;;;
A26f;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 Eingang externer Kontakt FR25;WAHL;3;;rw;21066;21067;1;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
A26g;heizkreis_3;A26;1,2,3,4,5,6;;Heizkreis 3 Raumkorrektur über App/Web;WAHL;3;;rw;23840;23841;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A27;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Fernleitungspumpe;WAHL;3;;rw;20724;20725;1;;;;;keine Fernleitung;mit Fernleitung 1;geregelte Fernleitung 1;geregelte Fernleitung 2;;;;;;;;;;;;;;;;;
A28;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Sommer-Badheizen;WAHL;3;;rw;20725;20726;1;;;;;Sommer-Badheizen Aus;Sommer-Badheizen Ein;Sommer-Badheizen Auto;;;;;;;;;;;;;;;;;;
A28a;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Sommer-Badheizen Puffer-Mindesttemperatur;INT;3;;rw;20726;20727;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A28b;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Sommer-Badheizen Tagesuhr Mo-So;TPROG;3;16;rw;20727;20728;1;;;;;;;;;;;;;;;;;;;;;;;;;
A28c;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Sommer-Badheizen Vorlauf-Soll;INT;3;;rw;20731;20732;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A28d;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Boilervorrang bei Sommer-Badheizen;WAHL;3;;rw;21067;21068;1;;;;;Inaktiv;Aktiv;;;;;;;;;;;;;;;;;;;
A28e;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Fühler Sommer- Badheizen Puffer- Mindesttemperatur;WAHL;3;;rw;24111;24112;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;;;;;;;;;;;;;;;;
A29;estrich;;;;Heizkreis 3 Estrich;WAHL;3;;rw;20732;20733;1;;;;;Aus;Ein;;;;;;;;;;;;;;;;;;;
A29a;estrich;;;;Heizkreis 3 Estrich pausiert;WAHL;3;;rw;21068;21069;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A30;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Loxone Verbindungsausfall Notbetrieb Solltemperatur;INT;3;;rw;21069;21070;1;°C;1;90;1;;;;;;;;;;;;;;;;;;;;;
A31;heizkreis_4;;;;Heizkreis 4;WAHL;3;;rw;20733;20734;1;;;;;Nicht vorhanden;Pumpe;Mischer Radiatoren;Loxone/Modbus;Mischer FBH;;;;;;;;;;;;;;;;
A32;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Steilheit;FLOAT;3;;rw;20734;20735;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A32a;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Steilheit FBH;FLOAT;3;;rw;21070;21071;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A33;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Vorlauftemperatur Minimum;INT;3;;rw;20736;20737;1;°C;1;80;1;;;;;;;;;;;;;;;;;;;;;
A33a;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Vorlauftemperatur Minimum FBH;INT;3;;rw;21072;21073;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A34;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Vorlauftemperatur Maximum;INT;3;;rw;20737;20738;1;°C;1;95;1;;;;;;;;;;;;;;;;;;;;;
A34a;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Vorlauftemperatur Maximum FBH;INT;3;;rw;21073;21074;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A35;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Mischerlaufzeit;INT;3;;rw;20738;20739;1;Sek;10;300;5;;;;;;;;;;;;;;;;;;;;;
A36;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Fernbedienung;WAHL;3;;rw;20739;20740;1;;;;;Nicht vorhanden;FR25 (analog);FR35 (digital);FR40 (digital);ext. Schaltkontakt;KNX;Modbus;;;;;;;;;;;;;;
A36a;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 Fernbedienung;WAHL;3;;rw;20740;20741;1;;;;;mit Raumfühler;ohne Raumfühler;;;;;;;;;;;;;;;;;;;
A36b;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 Anzeige Fernbedienung;WAHL;3;;rw;20741;20742;1;;;;;Boiler A;Boiler 1;Boiler 2;Boiler 3;Zentralpuffer;Boiler B;Fühler FWS;Zusatzpuffer HKM1;Zusatzpuffer HKM2;;;;;;;;;;;;
A36c;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 FR40-Ansicht;BITFIELD;3;;rw;21074;21075;1;;;;;;;;;;;;;;;;;;;;;;;;;
A36ca;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 FR40-Ansicht;BITFIELD;3;;rw;23991;23992;1;;;;;;;;;;;;;;;;;;;;;;;;;
A36d;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 Raumkorr. Fernbedienung;FLOAT;3;;rw;20742;20743;1;°C;-6.00;6.00;0.50;;;;;;;;;;;;;;;;;;;;;
A36e;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 Pumpenabschaltung bei Überschreitung der Raumtemp. Raumregler;WAHL;3;;rw;21076;21077;1;;;;;Deaktiviert;Aktiviert;;;;;;;;;;;;;;;;;;;
A36f;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 Eingang externer Kontakt FR25;WAHL;3;;rw;21077;21078;1;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
A36g;heizkreis_4;A36;1,2,3,4,5,6;;Heizkreis 4 Raumkorrektur über App/Web;WAHL;3;;rw;23841;23842;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A37;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Fernleitungspumpe;WAHL;3;;rw;20744;20745;1;;;;;keine Fernleitung;mit Fernleitung 1;geregelte Fernleitung 1;geregelte Fernleitung 2;;;;;;;;;;;;;;;;;
A38;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Sommer-Badheizen;WAHL;3;;rw;20745;20746;1;;;;;Sommer-Badheizen Aus;Sommer-Badheizen Ein;Sommer-Badheizen Auto;;;;;;;;;;;;;;;;;;
A38a;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Sommer-Badheizen Puffer-Mindesttemperatur;INT;3;;rw;20746;20747;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A38b;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Sommer-Badheizen Tagesuhr Mo-So;TPROG;3;16;rw;20747;20748;1;;;;;;;;;;;;;;;;;;;;;;;;;
A38c;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Sommer-Badheizen Vorlauf-Soll;INT;3;;rw;20751;20752;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A38d;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Boilervorrang bei Sommer-Badheizen;WAHL;3;;rw;21078;21079;1;;;;;Inaktiv;Aktiv;;;;;;;;;;;;;;;;;;;
A38e;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Fühler Sommer- Badheizen Puffer- Mindesttemperatur;WAHL;3;;rw;24112;24113;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;;;;;;;;;;;;;;;;
A39;estrich;;;;Heizkreis 4 Estrich;WAHL;3;;rw;20752;20753;1;;;;;Aus;Ein;;;;;;;;;;;;;;;;;;;
A39a;estrich;;;;Heizkreis 4 Estrich pausiert;WAHL;3;;rw;21079;21080;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A40;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Loxone Verbindungsausfall Notbetrieb Solltemperatur;INT;3;;rw;21080;21081;1;°C;1;90;1;;;;;;;;;;;;;;;;;;;;;
A41;heizkreis_5;;;;Heizkreis 5;WAHL;3;;rw;20753;20754;1;;;;;Nicht vorhanden;Pumpe;Mischer Radiatoren;Loxone/Modbus;Mischer FBH;;;;;;;;;;;;;;;;
A42;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Steilheit;FLOAT;3;;rw;20754;20755;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A42a;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Steilheit FBH;FLOAT;3;;rw;21081;21082;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A43;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Vorlauftemperatur Minimum;INT;3;;rw;20756;20757;1;°C;1;80;1;;;;;;;;;;;;;;;;;;;;;
A43a;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Vorlauftemperatur Minimum FBH;INT;3;;rw;21083;21084;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A44;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Vorlauftemperatur Maximum;INT;3;;rw;20757;20758;1;°C;1;95;1;;;;;;;;;;;;;;;;;;;;;
A44a;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Vorlauftemperatur Maximum FBH;INT;3;;rw;21084;21085;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A45;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Mischerlaufzeit;INT;3;;rw;20758;20759;1;Sek;10;300;5;;;;;;;;;;;;;;;;;;;;;
A46;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Fernbedienung;WAHL;3;;rw;20759;20760;1;;;;;Nicht vorhanden;FR25 (analog);FR35 (digital);FR40 (digital);ext. Schaltkontakt;KNX;Modbus;;;;;;;;;;;;;;
A46a;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 Fernbedienung;WAHL;3;;rw;20760;20761;1;;;;;mit Raumfühler;ohne Raumfühler;;;;;;;;;;;;;;;;;;;
A46b;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 Anzeige Fernbedienung;WAHL;3;;rw;20761;20762;1;;;;;Boiler A;Boiler 1;Boiler 2;Boiler 3;Zentralpuffer;Boiler B;Fühler FWS;Zusatzpuffer HKM1;Zusatzpuffer HKM2;;;;;;;;;;;;
A46c;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 FR40-Ansicht;BITFIELD;3;;rw;21085;21086;1;;;;;;;;;;;;;;;;;;;;;;;;;
A46ca;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 FR40-Ansicht;BITFIELD;3;;rw;23993;23994;1;;;;;;;;;;;;;;;;;;;;;;;;;
A46d;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 Raumkorr. Fernbedienung;FLOAT;3;;rw;20762;20763;1;°C;-6.00;6.00;0.50;;;;;;;;;;;;;;;;;;;;;
A46e;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 Pumpenabschaltung bei Überschreitung der Raumtemp. Raumregler;WAHL;3;;rw;21087;21088;1;;;;;Deaktiviert;Aktiviert;;;;;;;;;;;;;;;;;;;
A46f;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 Eingang externer Kontakt FR25;WAHL;3;;rw;21088;21089;1;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
A46g;heizkreis_5;A46;1,2,3,4,5,6;;Heizkreis 5 Raumkorrektur über App/Web;WAHL;3;;rw;23842;23843;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A47;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Fernleitungspumpe;WAHL;3;;rw;20764;20765;1;;;;;keine Fernleitung;mit Fernleitung 1;geregelte Fernleitung 1;geregelte Fernleitung 2;;;;;;;;;;;;;;;;;
A48;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Sommer-Badheizen;WAHL;3;;rw;20765;20766;1;;;;;Sommer-Badheizen Aus;Sommer-Badheizen Ein;Sommer-Badheizen Auto;;;;;;;;;;;;;;;;;;
A48a;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Sommer-Badheizen Puffer-Mindesttemperatur;INT;3;;rw;20766;20767;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A48b;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Sommer-Badheizen Tagesuhr Mo-So;TPROG;3;16;rw;20767;20768;1;;;;;;;;;;;;;;;;;;;;;;;;;
A48c;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Sommer-Badheizen Vorlauf-Soll;INT;3;;rw;20771;20772;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A48d;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Boilervorrang bei Sommer-Badheizen;WAHL;3;;rw;21089;21090;1;;;;;Inaktiv;Aktiv;;;;;;;;;;;;;;;;;;;
A48e;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Fühler Sommer- Badheizen Puffer- Mindesttemperatur;WAHL;3;;rw;24113;24114;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;;;;;;;;;;;;;;;;
A49;estrich;;;;Heizkreis 5 Estrich;WAHL;3;;rw;20772;20773;1;;;;;Aus;Ein;;;;;;;;;;;;;;;;;;;
A49a;estrich;;;;Heizkreis 5 Estrich pausiert;WAHL;3;;rw;21090;21091;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A50;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Loxone Verbindungsausfall Notbetrieb Solltemperatur;INT;3;;rw;21091;21092;1;°C;1;90;1;;;;;;;;;;;;;;;;;;;;;
A51;heizkreis_6;;;;Heizkreis 6;WAHL;3;;rw;20773;20774;1;;;;;Nicht vorhanden;Pumpe;Mischer Radiatoren;Loxone/Modbus;Mischer FBH;;;;;;;;;;;;;;;;
A52;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Steilheit;FLOAT;3;;rw;20774;20775;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A52a;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Steilheit FBH;FLOAT;3;;rw;21092;21093;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A53;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Vorlauftemperatur Minimum;INT;3;;rw;20776;20777;1;°C;1;80;1;;;;;;;;;;;;;;;;;;;;;
A53a;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Vorlauftemperatur Minimum FBH;INT;3;;rw;21094;21095;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A54;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Vorlauftemperatur Maximum;INT;3;;rw;20777;20778;1;°C;1;95;1;;;;;;;;;;;;;;;;;;;;;
A54a;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Vorlauftemperatur Maximum FBH;INT;3;;rw;21095;21096;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A55;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Mischerlaufzeit;INT;3;;rw;20778;20779;1;Sek;10;300;5;;;;;;;;;;;;;;;;;;;;;
A56;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Fernbedienung;WAHL;3;;rw;20779;20780;1;;;;;Nicht vorhanden;FR25 (analog);FR35 (digital);FR40 (digital);ext. Schaltkontakt;KNX;Modbus;;;;;;;;;;;;;;
A56a;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 Fernbedienung;WAHL;3;;rw;20780;20781;1;;;;;mit Raumfühler;ohne Raumfühler;;;;;;;;;;;;;;;;;;;
A56b;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 Anzeige Fernbedienung;WAHL;3;;rw;20781;20782;1;;;;;Boiler A;Boiler 1;Boiler 2;Boiler 3;Zentralpuffer;Boiler B;Fühler FWS;Zusatzpuffer HKM1;Zusatzpuffer HKM2;;;;;;;;;;;;
A56c;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 FR40-Ansicht;BITFIELD;3;;rw;21096;21097;1;;;;;;;;;;;;;;;;;;;;;;;;;
A56ca;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 FR40-Ansicht;BITFIELD;3;;rw;23995;23996;1;;;;;;;;;;;;;;;;;;;;;;;;;
A56d;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 Raumkorr. Fernbedienung;FLOAT;3;;rw;20782;20783;1;°C;-6.00;6.00;0.50;;;;;;;;;;;;;;;;;;;;;
A56e;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 Pumpenabschaltung bei Überschreitung der Raumtemp. Raumregler;WAHL;3;;rw;21098;21099;1;;;;;Deaktiviert;Aktiviert;;;;;;;;;;;;;;;;;;;
A56f;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 Eingang externer Kontakt FR25;WAHL;3;;rw;21099;21100;1;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
A56g;heizkreis_6;A56;1,2,3,4,5,6;;Heizkreis 6 Raumkorrektur über App/Web;WAHL;3;;rw;23843;23844;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A57;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Fernleitungspumpe;WAHL;3;;rw;20784;20785;1;;;;;keine Fernleitung;mit Fernleitung 1;geregelte Fernleitung 1;geregelte Fernleitung 2;;;;;;;;;;;;;;;;;
A58;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Sommer-Badheizen;WAHL;3;;rw;20785;20786;1;;;;;Sommer-Badheizen Aus;Sommer-Badheizen Ein;Sommer-Badheizen Auto;;;;;;;;;;;;;;;;;;
A58a;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Sommer-Badheizen Puffer-Mindesttemperatur;INT;3;;rw;20786;20787;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A58b;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Sommer-Badheizen Tagesuhr Mo-So;TPROG;3;16;rw;20787;20788;1;;;;;;;;;;;;;;;;;;;;;;;;;
A58c;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Sommer-Badheizen Vorlauf-Soll;INT;3;;rw;20791;20792;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A58d;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Boilervorrang bei Sommer-Badheizen;WAHL;3;;rw;21100;21101;1;;;;;Inaktiv;Aktiv;;;;;;;;;;;;;;;;;;;
A58e;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Fühler Sommer- Badheizen Puffer- Mindesttemperatur;WAHL;3;;rw;24114;24115;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;;;;;;;;;;;;;;;;
A59;estrich;;;;Heizkreis 6 Estrich;WAHL;3;;rw;20792;20793;1;;;;;Aus;Ein;;;;;;;;;;;;;;;;;;;
A59a;estrich;;;;Heizkreis 6 Estrich pausiert;WAHL;3;;rw;21101;21102;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A60;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Loxone Verbindungsausfall Notbetrieb Solltemperatur;INT;3;;rw;21102;21103;1;°C;1;90;1;;;;;;;;;;;;;;;;;;;;;
A61;heizkreis_a;;;;Heizkreis A;WAHL;3;;rw;20653;20654;1;;;;;Nicht vorhanden;Pumpe;Mischer Radiatoren;Loxone/Modbus;Mischer FBH;;;;;;;;;;;;;;;;
A62;heizkreis_a;A61;1,2,3,4;;Heizkreis A Steilheit;FLOAT;3;;rw;20654;20655;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A62a;heizkreis_a;A61;1,2,3,4;;Heizkreis A Steilheit FBH;FLOAT;3;;rw;21026;21027;1;;0.20;Mrz 50;0.05;;;;;;;;;;;;;;;;;;;;;
A63;heizkreis_a;A61;1,2,3,4;;Heizkreis A Vorlauftemperatur Minimum;INT;3;;rw;20656;20657;1;°C;1;80;1;;;;;;;;;;;;;;;;;;;;;
A63a;heizkreis_a;A61;1,2,3,4;;Heizkreis A Vorlauftemperatur Minimum FBH;INT;3;;rw;21028;21029;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A64;heizkreis_a;A61;1,2,3,4;;Heizkreis A Vorlauftemperatur Maximum;INT;3;;rw;20657;20658;1;°C;1;95;1;;;;;;;;;;;;;;;;;;;;;
A64a;heizkreis_a;A61;1,2,3,4;;Heizkreis A Vorlauftemperatur Maximum FBH;INT;3;;rw;21029;21030;1;°C;1;55;1;;;;;;;;;;;;;;;;;;;;;
A65;heizkreis_a;A61;1,2,3,4;;Heizkreis A Mischerlaufzeit;INT;3;;rw;20658;20659;1;Sek;10;300;5;;;;;;;;;;;;;;;;;;;;;
A66;heizkreis_a;A61;1,2,3,4;;Heizkreis A Fernbedienung;WAHL;3;;rw;20659;20660;1;;;;;Nicht vorhanden;FR25 (analog);FR35 (digital);FR40 (digital);ext. Schaltkontakt;KNX;Modbus;;;;;;;;;;;;;;
A66a;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A Fernbedienung;WAHL;3;;rw;20660;20661;1;;;;;mit Raumfühler;ohne Raumfühler;;;;;;;;;;;;;;;;;;;
A66b;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A Anzeige Fernbedienung;WAHL;3;;rw;20661;20662;1;;;;;Boiler A;Boiler 1;Boiler 2;Boiler 3;Zentralpuffer;Boiler B;Fühler FWS;Zusatzpuffer HKM1;Zusatzpuffer HKM2;;;;;;;;;;;;
A66c;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A FR40-Ansicht;BITFIELD;3;;rw;21030;21031;1;;;;;;;;;;;;;;;;;;;;;;;;;
A66ca;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A FR40-Ansicht;BITFIELD;3;;rw;23983;23984;1;;;;;;;;;;;;;;;;;;;;;;;;;
A66d;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A Raumkorr. Fernbedienung;FLOAT;3;;rw;20662;20663;1;°C;-6.00;6.00;0.50;;;;;;;;;;;;;;;;;;;;;
A66e;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A Pumpenabschaltung bei Überschreitung der Raumtemp. Raumregler;WAHL;3;;rw;21032;21033;1;;;;;Deaktiviert;Aktiviert;;;;;;;;;;;;;;;;;;;
A66f;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A Eingang externer Kontakt FR25;WAHL;3;;rw;21033;21034;1;;;;;Öffner;Schließer;;;;;;;;;;;;;;;;;;;
A66g;heizkreis_a;A66;1,2,3,4,5,6;;Heizkreis A Raumkorrektur über App/Web;WAHL;3;;rw;23837;23838;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A67;heizkreis_a;A61;1,2,3,4;;Heizkreis A Fernleitungspumpe;WAHL;3;;rw;20664;20665;1;;;;;keine Fernleitung;mit Fernleitung 1;geregelte Fernleitung 1;geregelte Fernleitung 2;;;;;;;;;;;;;;;;;
A68;heizkreis_a;A61;1,2,3,4;;Heizkreis A Sommer-Badheizen;WAHL;3;;rw;20665;20666;1;;;;;Sommer-Badheizen Aus;Sommer-Badheizen Ein;Sommer-Badheizen Auto;;;;;;;;;;;;;;;;;;
A68a;heizkreis_a;A61;1,2,3,4;;Heizkreis A Sommer-Badheizen Puffer-Mindesttemperatur;INT;3;;rw;20666;20667;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A68b;heizkreis_a;A61;1,2,3,4;;Heizkreis A Sommer-Badheizen Tagesuhr Mo-So;TPROG;3;16;rw;20667;20668;1;;;;;;;;;;;;;;;;;;;;;;;;;
A68c;heizkreis_a;A61;1,2,3,4;;Heizkreis A Sommer-Badheizen Vorlauf-Soll;INT;3;;rw;20671;20672;1;°C;20;100;1;;;;;;;;;;;;;;;;;;;;;
A68d;heizkreis_a;A61;1,2,3,4;;Heizkreis A Boilervorrang bei Sommer-Badheizen;WAHL;3;;rw;21034;21035;1;;;;;Inaktiv;Aktiv;;;;;;;;;;;;;;;;;;;
A68e;heizkreis_a;A61;1,2,3,4;;Heizkreis A Fühler Sommer- Badheizen Puffer- Mindesttemperatur;WAHL;3;;rw;24115;24116;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;;;;;;;;;;;;;;;;
A69;estrich;;;;Heizkreis A Estrich;WAHL;3;;rw;20672;20673;1;;;;;Aus;Ein;;;;;;;;;;;;;;;;;;;
A69a;estrich;;;;Heizkreis A Estrich pausiert;WAHL;3;;rw;21035;21036;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
A70;heizkreis_a;A61;1,2,3,4;;Heizkreis A Loxone Verbindungsausfall Notbetrieb Solltemperatur;INT;3;;rw;21036;21037;1;°C;1;90;1;;;;;;;;;;;;;;;;;;;;;
