Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
C33d;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Puffer-Mindesttemperatur (Fühler oben);INT;3;;rw;23900;23901;1;°C;0;90;1;;;;;;;;;;;;;;;;;;;;;
C33e;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 Tagesuhr Mindesttemp.;TPROG;3;16;rw;23906;23907;1;;;;;;;;;;;;;;;;;;;;;;;;;
C33f;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Leistungsreduktion bei Füllgrad über;INT;3;;rw;23915;23916;1;%;65;100;1;;;;;;;;;;;;;;;;;;;;;
C33g;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 Differenzregelung;WAHL;3;;rw;23872;23873;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
C34;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Wochenuhr Zwangsladung Puffer HKM1;WPROG;3;16;rw;23925;23926;1;;;;;;;;;;;;;;;;;;;;;;;;;
C34a;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Keine Pufferzwangsladung bei Außentemperatur über;INT;3;;rw;23936;23937;1;°C;-20;85;1;;;;;;;;;;;;;;;;;;;;;
C34b;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Kesselleistung bei Pufferladung;INT;3;;rw;23939;23940;1;%;30;100;1;;;;;;;;;;;;;;;;;;;;;
C35;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Auswahl Ausgang für Pumpen / Zonenventil Zusatzpuffer HKM1;WAHL;3;;rw;23942;23943;1;;;;;Nicht vorhanden;"Störungslampe
(Klemme-Nr. 35)";"Externe Pumpe 2
(Klemme-Nr. 36)";;;;;;;;;;;;;;;;;;
C36;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 an Fernleitung;WAHL;3;;rw;23945;23946;1;;;;;Nein;Fernleitung 1;"geregelte 
Fernleitung 1";"geregelte 
Fernleitung 2";;;;;;;;;;;;;;;;;
C40;zusatzpuffer_hkm2;;;;Zusatzpuffer HKM2 Zusatzpuffer HKM2;WAHL;3;;rw;23870;23871;1;;;;;Nicht vorhanden;Puffer mit HKV;Puffer mit 1F;Puffer mit 2F;Puffer mit 3F;Puffer mit 5F;;;;;;;;;;;;;;;
C41e;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 Volumen;INT32;3;;rw;23878;23879;1;l;0;100000;1;;;;;;;;;;;;;;;;;;;;;
C41f;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 Anzeige Füllgrad;WAHL;3;;rw;23882;23883;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
C42;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Auswahl Boiler am Zusatzpuffer HKM2;WAHL;3;;rw;23885;23886;1;;;;;"Puffer/Boiler
intern";"Puffer/Boiler
extern";;;;;;;;;;;;;;;;;;;
C43;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 Ladung beenden bei Temperatur;INT;3;;rw;23888;23889;1;°C;20;80;1;;;;;;;;;;;;;;;;;;;;;
C43a;zusatzpuffer_hkm2;C40;1,2,3,4,5;;"Zusatzpuffer HKM2 minimale Wärmequelle-
Solltemperatur bei Pufferladung";INT;3;;rw;23891;23892;1;°C;20;80;1;;;;;;;;;;;;;;;;;;;;;
C43b;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 Ladung bei jedem Kesselstart;WAHL;3;;rw;23895;23896;1;;;;;Nein;Ja;Ja, wenn Anf. vorh.;;;;;;;;;;;;;;;;;;
C43c;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 Fühler für Beenden der Ladung (auf Grund Warmwasserbereitung);WAHL;3;;rw;23898;23899;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;Boilerfühler;;;;;;;;;;;;;;;
C43d;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Puffer-Mindesttemperatur (Fühler oben);INT;3;;rw;23901;23902;1;°C;0;90;1;;;;;;;;;;;;;;;;;;;;;
C43e;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 Tagesuhr Mindesttemp.;TPROG;3;16;rw;23910;23911;1;;;;;;;;;;;;;;;;;;;;;;;;;
C43f;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Leistungsreduktion bei Füllgrad über;INT;3;;rw;23916;23917;1;%;65;100;1;;;;;;;;;;;;;;;;;;;;;
C43g;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 Differenzregelung;WAHL;3;;rw;23873;23874;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
C44;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Wochenuhr Zwangsladung Puffer HKM2;WPROG;3;16;rw;23930;23931;1;;;;;;;;;;;;;;;;;;;;;;;;;
C44a;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Keine Pufferzwangsladung bei Außentemperatur über;INT;3;;rw;23937;23938;1;°C;-20;85;1;;;;;;;;;;;;;;;;;;;;;
C44b;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Kesselleistung bei Pufferladung;INT;3;;rw;23940;23941;1;%;30;100;1;;;;;;;;;;;;;;;;;;;;;
C45;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Auswahl Ausgang für Pumpen / Zonenventil Zusatzpuffer HKM2;WAHL;3;;rw;23943;23944;1;;;;;Nicht vorhanden;"Störungslampe
(Klemme-Nr. 35)";"Externe Pumpe 3
(Klemme-Nr. 36)";;;;;;;;;;;;;;;;;;
C46;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Zusatzpuffer HKM2 an Fernleitung;WAHL;3;;rw;23946;23947;1;;;;;Nein;Fernleitung 1;"geregelte 
Fernleitung 1";"geregelte 
Fernleitung 2";;;;;;;;;;;;;;;;;
